Fruits,Links
Banana1,https://www.google.com/search?sca_esv=0859001573093002&rlz=1C1CHBF_en-GBPK1099PK1099&sxsrf=ADLYWIL1tsva2VjyNprDmWGyZ7VVlovcYg:1721374181897&q=%E2%80%9Cisolated+banana%E2%80%9D&udm=2&fbs=AEQNm0Aa4sjWe7Rqy32pFwRj0UkWd8nbOJfsBGGB5IQQO6L3JzEq8sk6FPCPzvp42tv1tXrkTLHakbUui6kohY8mGbK-gBWBZuenhxh_XZeQIB0WzcpaGnBGdGUF4pA_VpPVvINwLWWmzYZptV-AHT7zHeS80Yf4rK7HAUmp48hFgU1YydHfZaA0cJ08x2dUPuDc4pdNadf1&sa=X&ved=2ahUKEwjpuIzFyrKHAxVPnP0HHd8MAF84ChC0qAt6BAgOEAE&biw=1360&bih=607&dpr=1
Mango1,https://www.google.com/search?sca_esv=0859001573093002&rlz=1C1CHBF_enPK1110PK1110&biw=1536&bih=695&sxsrf=ADLYWII5dfh27kSoVTAeWuiPURvoKAOaRg:1721374005424&q=isolated+%22Single+Mango%22&uds=ADvngMjkDEuTvmwrZctIOXbKalOLyFaPWN6NjEUpFt6OdLhcr2gFw3EYioGhnGa9nMz4XOOMIYrnR8tNSaVICqLBS6o-hOYyL-JRQ2MXuhqkZOIN0VXtva2Wff544v2yZnfg2luTNzSf&udm=2&sa=X&ved=2ahUKEwjGtPnwybKHAxU2gP0HHaIiDCMQxKsJegUImAEQAQ&ictx=0
Orange1,https://www.google.com/search?sca_esv=0859001573093002&sxsrf=ADLYWIIX9tSuP_oj2dm6gO78kU_QRO2s6w:1721373447773&q=single+orange&uds=ADvngMhUZ1jigte1fwp9LmXmOVjZN-8r2wKeypyOI51YRH2aAfkLA5YVWiQpsv0QMB3a03kUzSbtUW8VJHI-_HZf-Y9RVpqxSA&udm=2&sa=X&ved=2ahUKEwjGiIXnx7KHAxVlSPEDHRG9AP0Qkc0JegQIBxAB&ictx=0&biw=1536&bih=735&dpr=1.25
Orange2,https://www.google.com/search?q=isolated+orange&sca_esv=0859001573093002&udm=2&biw=1536&bih=735&sxsrf=ADLYWILivZWC6cNuRPrpYgTeuOglDeA6cQ%3A1721373451576&ei=CxOaZo3iItDixc8Pk-GO6Aw&ved=0ahUKEwjNk-3ox7KHAxVQcfEDHZOwA80Q4dUDCBA&uact=5&oq=isolated+orange&gs_lp=Egxnd3Mtd2l6LXNlcnAiD2lzb2xhdGVkIG9yYW5nZTIGEAAYCBgeMgYQABgIGB4yBhAAGAgYHkjoQVDWEVjSPXACeACQAQGYAYMDoAHsHKoBBjItMTAuM7gBA8gBAPgBAZgCBqACygnCAgQQIxgnwgIKEAAYgAQYQxiKBcICBRAAGIAEwgINEAAYgAQYsQMYQxiKBcICBhAAGAcYHsICCBAAGAcYCBgewgILEAAYBxjHAxgIGB6YAwCIBgGSBwcyLjAuMy4xoAepNg&sclient=gws-wiz-serp
Banana2,https://www.google.com/search?q=banana+on+white+background&sca_esv=0859001573093002&rlz=1C1CHBF_en-GBPK1099PK1099&udm=2&biw=1360&bih=607&sxsrf=ADLYWIKSW2twmK-in0NwLEhet9dLmpkVUA%3A1721374391456&ei=txaaZrW5G4iA9u8P4--xOA&oq=%E2%80%9Cbana+on+white+background&gs_lp=Egxnd3Mtd2l6LXNlcnAiG-KAnGJhbmEgb24gd2hpdGUgYmFja2dyb3VuZCoCCAAyBhAAGAcYHkjFM1DEBFjTIHACeACQAQCYAfABoAHYEaoBBDItMTC4AQHIAQD4AQGYAgWgAtsFwgIKEAAYgAQYQxiKBcICBRAAGIAEmAMAiAYBkgcFMi4wLjOgB5Eq&sclient=gws-wiz-serp
Banana3,https://www.google.com/search?sca_esv=0859001573093002&rlz=1C1CHBF_en-GBPK1099PK1099&sxsrf=ADLYWIKrfgGwUD_LrvFXf7qZSzOppt1R3Q:1721374600858&q=single+banana&udm=2&fbs=AEQNm0Aa4sjWe7Rqy32pFwRj0UkWd8nbOJfsBGGB5IQQO6L3JzEq8sk6FPCPzvp42tv1tXrkTLHakbUui6kohY8mGbK-gBWBZuenhxh_XZeQIB0WzY43WoGFroT0AluXUlL3qT0d2WG7sWwOdlcmSxcOEQrogtDUBs9GJUwShjseUzZCqStSHxazvHGl7iiDvvnc0ed4mKZK&sa=X&ved=2ahUKEwir5--MzLKHAxX9RfEDHSukC_oQtKgLegQIFBAB&biw=1360&bih=607&dpr=1
Mango2,https://www.gettyimages.com/search/2/image?phrase=single%20mango%20isolated&sort=mostpopular&license=rf%2Crm
Orange3,https://www.google.com/search?sca_esv=0859001573093002&sxsrf=ADLYWILrPUzC0yjhr8Gqe2V2EPeiX0GwDQ:1721374708971&q=orange+fruit+single&uds=ADvngMhs0a6Arqotl4uzSyVYTNmx4zxbnwIljd8tuNLfCDQXo0Q7p-0z8WBaBbZMLhsXB68k6OH2vTTDkvI4IVmpkeYEncjEyf8ruT9tvNw2ncaVlrqbbfUS2wzkMk4v5pgwI4zu29TcdkGDF1tFSYLynXuQJgXtSA&udm=2&sa=X&ved=2ahUKEwi1x7bAzLKHAxXJBtsEHZQKBk0QxKsJegQIDxAB&ictx=0&biw=1536&bih=735&dpr=1.25
apple3,https://www.stickpng.com/img/food/fruits/apples/apple-solo
apple1,https://www.istockphoto.com/search/2/image-film?istockcollection=signature%2Csignatureplus&page=3&phrase=apple%20fruit
